	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000096917	0	1.27095435077006	0.411	0.007	0	10	ENSDARG00000096917
ENSDARG00000001354	0	1.1772902375789	0.322	0.01	0	10	ENSDARG00000001354
ENSDARG00000076858	0	1.16875244453537	0.369	0.014	0	10	ENSDARG00000076858
ENSDARG00000094215	0	1.15049422066209	0.218	0.001	0	10	ENSDARG00000094215
ENSDARG00000023820.1	0	1.14001715188554	0.482	0.061	0	10	ENSDARG00000023820
ENSDARG00000035256	2.98618602689701e-300	1.12436368682723	0.421	0.053	6.56035208249003e-296	10	ENSDARG00000035256
ENSDARG00000013655	1.4487654407016e-239	1.16971792415184	0.589	0.135	3.18279279667734e-235	10	ENSDARG00000013655
ENSDARG00000068822	2.174687241916e-187	1.1101585506327	0.489	0.112	4.77757040176527e-183	10	ENSDARG00000068822
ENSDARG00000041839	2.64085813001167e-174	1.10281167310488	0.341	0.06	5.80170122582263e-170	10	ENSDARG00000041839
ENSDARG00000042933	3.34985591984255e-172	1.18643339397549	0.511	0.135	7.3592984703021e-168	10	ENSDARG00000042933
ENSDARG00000068214	6.63996137707821e-151	1.12973032734014	0.819	0.401	1.45873311493031e-146	10	ENSDARG00000068214
ENSDARG00000009212	5.4191831690951e-91	-1.04154705601495	0.55	0.766	1.1905403504185e-86	10	ENSDARG00000009212
ENSDARG00000077777.2	9.87059855043789e-89	-1.20969924378794	0.576	0.8	2.1684717955457e-84	10	ENSDARG00000077777
ENSDARG00000103919.2	4.3047338888847e-70	-1.2297770773393	0.513	0.729	9.4570698804908e-66	10	ENSDARG00000103919
ENSDARG00000101766.1	4.8642468956044e-62	-1.19284323445678	0.625	0.782	1.06862640049533e-57	10	ENSDARG00000101766
ENSDARG00000041623.3	7.36514226225656e-54	1.02640164315586	0.528	0.263	1.61804810359514e-49	10	ENSDARG00000041623
ENSDARG00000031683.2	1.44068166319361e-49	-1.23405999268856	0.351	0.592	3.16503354587004e-45	10	ENSDARG00000031683
ENSDARG00000099572.2	4.93319433435243e-35	-1.07429383076377	0.552	0.698	1.08377346331388e-30	10	ENSDARG00000099572
ENSDARG00000087303.2	9.75323748933526e-31	-1.01285082554607	0.249	0.451	2.14268874403206e-26	10	ENSDARG00000087303
ENSDARG00000043531.1	6.77243024311315e-28	-1.04329319306265	0.159	0.362	1.48783520010953e-23	10	ENSDARG00000043531
ENSDARG00000039914.1	6.39974221742654e-27	-1.03788331668431	0.282	0.472	1.40595936774644e-22	10	ENSDARG00000039914
ENSDARG00000058358.4	1.54226927115095e-26	-1.03882753528204	0.155	0.351	3.38821136179153e-22	10	ENSDARG00000058358
ENSDARG00000053684.5	1.70156242233995e-25	-1.21903394488112	0.246	0.425	3.73816248563864e-21	10	ENSDARG00000053684
ENSDARG00000002768.6	2.03000403898528e-25	-1.0377328433378	0.937	0.949	4.45971587324676e-21	10	ENSDARG00000002768
ENSDARG00000028335.2	5.83383163554895e-24	-1.07657226528914	0.265	0.44	1.28163447201375e-19	10	ENSDARG00000028335
ENSDARG00000043257.4	2.88551216929969e-23	-1.08204376923432	0.324	0.48	6.3391816847345e-19	10	ENSDARG00000043257
ENSDARG00000037789.6	1.64673684208095e-20	-1.06132951693737	0.924	0.933	3.61771616836764e-16	10	ENSDARG00000037789
ENSDARG00000099197.6	1.68110998198322e-20	-1.02841842195884	0.835	0.855	3.69323051941894e-16	10	ENSDARG00000099197
ENSDARG00000004621.6	1.68504617622849e-18	-1.22932000595273	0.068	0.21	3.70187794455637e-14	10	ENSDARG00000004621
ENSDARG00000055455.6	1.21689169499604e-17	-1.25817365252581	0.079	0.216	2.67338936473679e-13	10	ENSDARG00000055455
ENSDARG00000101199.8	1.77444851202451e-17	-1.37770463599831	0.314	0.425	3.89828593606664e-13	10	ENSDARG00000101199
